,Country,Year,df_CO2AVBUNK,df_CO2GDP,df_CO2GDPPPP,df_CO2MARBUNK,df_CO2POP,df_CO2TES,df_GHGFC,df_GHGFugi,df_GHGFCOil,df_GHGFCGas,df_GHGEnergy,df_GHGFCCoal
0,Canada,1971,1.265993236,0.719,0.702,3.099452497,15.492,57.486,345.6174905,20994.32288,211.748862,68.3526568,366.6118133,64.35598819
1,Chile,1971,0.438639753,0.466,0.278,0.606738605,2.161,57.724,21.71039734,355.343975,14.78051651,1.324191205,22.06574132,5.167808865
2,Colombia,1971,0.599886475,..,..,0.958218915,1.213,45.999,28.44136947,4612.654275,18.22757603,2.628954286,33.05402375,6.174544004
3,Costa Rica,1971,0,0.139,0.095,0.099567243,0.692,37.704,1.343074986,..,1.291324321,0,..,0.002506452
4,Mexico,1971,1.403116037,0.335,0.176,0.258252769,1.754,52.102,96.69143921,22305.29285,70.06945173,19.58605364,118.9967321,5.206264152
5,United States,1971,15.50762078,0.801,0.801,23.59087962,20.651,64.525,4338.878522,260963.831,2024.817817,1197.765398,4599.842353,1112.829169
6,Australia,1971,1.59087494,0.451,0.499,5.152768116,10.863,66.342,145.8026002,6389.95525,65.2865156,4.005109765,152.1925554,75.65644928
7,Israel,1971,1.810801528,0.283,0.285,0,4.517,57.262,13.88936306,13.833375,13.83222933,0.032800045,13.90319643,0.022977732
8,Japan,1971,3.834008722,0.49,0.419,50.45768772,7.154,67.048,756.7845296,8359.744325,545.4191035,8.587565906,765.1442739,202.7778602
9,Korea,1971,0,0.751,0.569,1.542673945,1.61,74.507,54.74788633,11775.19714,30.97503398,0,66.52308347,23.77285235
10,New Zealand,1971,0.645895128,0.226,0.232,1.053429755,4.714,47.232,13.73900835,61.8577,9.458690582,0.245839685,13.80086605,4.034478086
11,Austria,1971,0.279779502,0.335,0.297,0,6.48,61.701,49.58428949,..,27.24427207,5.426587948,..,16.68328969
12,Belgium,1971,1.226796986,0.658,0.584,8.166021252,12.213,71.05,119.4057764,..,63.00118052,11.34447898,..,45.06011693
13,Czech Republic,1971,0.701370888,2.329,1.225,0,15.611,80.769,156.9573407,..,19.75240668,1.868771083,..,135.3361629
14,Denmark,1971,1.943215885,0.405,0.44,2.112617698,11.167,71.532,55.95431392,8.884765,49.75611826,0,55.96319869,6.156243962
15,Estonia,1971,..,..,..,..,..,..,..,22.512825,..,..,0.022512825,..
